run1	run2	run3	run4	run5	run6
TAR_DA_f_s.aiff	TAR_DA_thv_v_SCN.aiff	TAR_SA_s_t_SCN.aiff	TAR_SA_k_g.aiff	TAR_Repeated_v_SCN.aiff	TAR_Repeated_g.aiff
SCN_SA_thv_z.aiff	SCN_Repeated_g.aiff	SCN_SA_s_t.aiff	DA_b_g.aiff	SA_b_p.aiff	Repeated_th.aiff
SCN_DA_p_t.aiff	Repeated_k.aiff	SCN_Repeated_d.aiff	SCN_Repeated_v.aiff	SCN_Repeated_p.aiff	DA_s_f.aiff
Repeated_k.aiff	DA_b_g.aiff	SA_b_v.aiff	TAR_Repeated_thv_SCN.aiff	TAR_Repeated_d.aiff	SCN_SA_v_b.aiff
TAR_SA_f_v.aiff	SCN_DA_p_t.aiff	SCN_SA_thv_z.aiff	SCN_DA_v_thv.aiff	DA_b_g.aiff	SCN_SA_p_b.aiff
Repeated_b.aiff	Repeated_b.aiff	SCN_DA_k_p.aiff	SA_b_p.aiff	TAR_SA_f_v.aiff	SCN_Repeated_v.aiff
DA_s_f.aiff	DA_s_f.aiff	TAR_Repeated_d.aiff	SCN_DA_k_p.aiff	DA_th_f.aiff	SA_p_f.aiff
SA_b_v.aiff	SCN_Repeated_v.aiff	SA_thv_d.aiff	DA_b_d.aiff	DA_b_d.aiff	SCN_SA_s_t.aiff
SCN_SA_s_t.aiff	TAR_Repeated_d.aiff	SCN_Repeated_p.aiff	SCN_SA_thv_z.aiff	SCN_DA_v_thv.aiff	SA_thv_d.aiff
Repeated_th.aiff	DA_th_f.aiff	SA_p_f.aiff	Repeated_k.aiff	SCN_Repeated_g.aiff	SCN_Repeated_d.aiff
SA_p_f.aiff	SCN_SA_p_b.aiff	DA_b_g.aiff	DA_th_f.aiff	SCN_Repeated_d.aiff	TAR_DA_t_p_SCN.aiff
SCN_SA_p_b.aiff	SCN_SA_v_b.aiff	TAR_DA_t_p_SCN.aiff	SA_b_v.aiff	SA_thv_d.aiff	Repeated_b.aiff
SCN_DA_z_v.aiff	TAR_Repeated_thv_SCN.aiff	SCN_DA_v_thv.aiff	SCN_SA_v_b.aiff	SCN_DA_p_t.aiff	TAR_SA_f_v.aiff
SCN_DA_k_p.aiff	SCN_DA_z_v.aiff	Repeated_k.aiff	Repeated_th.aiff	SCN_SA_p_b.aiff	SCN_DA_v_thv.aiff
SA_b_p.aiff	DA_b_d.aiff	SCN_DA_p_t.aiff	SCN_DA_z_v.aiff	SA_b_v.aiff	SCN_DA_z_v.aiff
TAR_Repeated_thv_SCN.aiff	SA_b_v.aiff	SCN_Repeated_v.aiff	TAR_DA_t_p_SCN.aiff	Repeated_k.aiff	SCN_DA_k_p.aiff
SCN_Repeated_p.aiff	SCN_SA_s_t.aiff	SCN_SA_v_b.aiff	SCN_DA_p_t.aiff	Repeated_b.aiff	SA_b_p.aiff
SCN_DA_v_thv.aiff	TAR_DA_t_p_SCN.aiff	Repeated_f.aiff	TAR_Repeated_d.aiff	SCN_SA_thv_z.aiff	TAR_Repeated_d.aiff
SCN_Repeated_d.aiff	SCN_SA_thv_z.aiff	SCN_SA_p_b.aiff	SCN_Repeated_p.aiff	DA_s_f.aiff	DA_b_g.aiff
DA_b_d.aiff	SCN_DA_v_thv.aiff	TAR_Repeated_thv_SCN.aiff	SA_p_f.aiff	SCN_DA_k_p.aiff	SCN_DA_p_t.aiff
Repeated_f.aiff	SCN_Repeated_d.aiff	DA_th_f.aiff	Repeated_f.aiff	SCN_SA_s_t.aiff	DA_b_d.aiff
SCN_SA_v_b.aiff	TAR_SA_f_v.aiff	SA_b_p.aiff	DA_s_f.aiff	TAR_Repeated_thv_SCN.aiff	SCN_SA_thv_z.aiff
TAR_Repeated_d.aiff	SA_p_f.aiff	DA_b_d.aiff	SCN_SA_p_b.aiff	Repeated_th.aiff	Repeated_f.aiff
DA_th_f.aiff	SA_thv_d.aiff	SCN_Repeated_g.aiff	SCN_Repeated_g.aiff	SCN_DA_z_v.aiff	SCN_Repeated_g.aiff
TAR_DA_t_p_SCN.aiff	Repeated_th.aiff	DA_s_f.aiff	Repeated_b.aiff	Repeated_f.aiff	DA_th_f.aiff
DA_b_g.aiff	SCN_Repeated_p.aiff	Repeated_b.aiff	SCN_SA_s_t.aiff	SCN_SA_v_b.aiff	TAR_Repeated_thv_SCN.aiff
SCN_Repeated_g.aiff	Repeated_f.aiff	TAR_SA_f_v.aiff	SCN_Repeated_d.aiff	SA_p_f.aiff	SCN_Repeated_p.aiff
SA_thv_d.aiff	SCN_DA_k_p.aiff	Repeated_th.aiff	TAR_SA_f_v.aiff	SCN_Repeated_v.aiff	SA_b_v.aiff
SCN_Repeated_v.aiff	SA_b_p.aiff	SCN_DA_z_v.aiff	SA_thv_d.aiff	TAR_DA_t_p_SCN.aiff	Repeated_k.aiff
