response	stims	trialnumber	ttype
[('t', 1.8858614808414131), ('g', 2.876503091538325), ('f', 3.136662100441754), ('j', 4.5350737671833485), ('k', 5.773455747170374), ('s', 6.922847867477685), ('f', 8.371361654717475), ('t', 10.251769879367203), ('g', 11.58262192341499)]	(stim\DA_b_d.aiff, center_rect, +)	1	run2
[('h', 0.7434754220303148), ('d', 1.6462184679694474), ('r', 2.6203337917104363), ('f', 3.798068270087242), ('g', 3.903780492953956), ('s', 4.581506630871445), ('d', 5.031706965062767), ('r', 6.018291849410161), ('g', 6.837483073817566), ('h', 8.898529751226306), ('s', 10.511657308088616), ('d', 11.680114461574703)]	(stim\DA_b_g.aiff, center_rect, +)	2	run2
[('r', 0.2595356625970453), ('g', 1.91053750901483), ('s', 3.070410334505141), ('d', 3.9691440635360777), ('r', 5.676298294449225), ('t', 5.683524722000584), ('r', 6.32336983946152), ('f', 8.210273157339543), ('d', 8.865101121133193), ('s', 9.044613160891458), ('g', 9.842167828930542), ('s', 11.062100805807859)]	(stim\DA_b_d.aiff, center_rect, +)	3	run2
[('d', 0.024242319399490952), ('r', 1.095057975500822), ('g', 2.748584813438356), ('r', 5.672583676874638), ('s', 7.85094384290278), ('r', 9.583148109726608), ('d', 10.457047486212105), ('g', 11.346134857507423), ('s', 11.995171260554343)]	(stim\DA_b_d.aiff, center_rect, +)	4	run2
[('r', 0.7771855825558305), ('h', 1.6586675429716706), ('v', 2.4544622087851167), ('b', 3.5004309283103794), ('n', 4.425107863731682), ('h', 5.303953918162733), ('y', 6.593383866362274), ('t', 6.74455471849069), ('e', 7.38512824405916), ('t', 8.104043235071003), ('y', 8.895335467066616), ('t', 10.035826318664476), ('e', 10.538911005249247), ('t', 11.774382279952988)]	(stim\DA_b_d.aiff, center_rect, +)	5	run2
[('r', 0.19324819324538112), ('e', 1.1357326412107795), ('y', 2.5302526366431266), ('t', 2.6628650343045592), ('y', 3.6796860205940902), ('t', 5.338864824734628), ('t', 8.959505314705893), ('w', 11.570542759029195)]	(stim\DA_b_g.aiff, center_rect, +)	6	run2
[]	(stim\DA_b_d.aiff, center_rect, +)	7	run2
[('f', 2.984642853261903), ('d', 3.0665221749804914), ('a', 3.236192951677367), ('h', 4.2596094105392694), ('g', 4.357509026071057), ('h', 5.661738621070981), ('g', 5.725024955580011), ('f', 6.168074365938082), ('d', 6.240968135884032), ('g', 6.653937134426087), ('f', 7.590463503263891), ('s', 8.057977355085313), ('d', 8.288989216089249), ('f', 8.46153440931812), ('g', 8.641768126282841), ('f', 8.779660238185897), ('d', 8.840642532333732)]	(stim\DA_b_d.aiff, center_rect, +)	8	run2
[]	(stim\DA_b_g.aiff, center_rect, +)	9	run2
[]	(stim\DA_b_d.aiff, center_rect, +)	10	run2
[]	(stim\DA_b_d.aiff, center_rect, +)	11	run2
[]	(stim\DA_b_d.aiff, center_rect, +)	12	run2
[]	(stim\DA_b_d.aiff, center_rect, +)	13	run2
[]	(stim\DA_b_g.aiff, center_rect, +)	14	run2
[]	(stim\DA_b_d.aiff, center_rect, +)	15	run2
[]	(stim\DA_b_d.aiff, center_rect, +)	16	run2
[]	(stim\DA_b_d.aiff, center_rect, +)	17	run2
[]	(stim\DA_b_g.aiff, center_rect, +)	18	run2
[]	(stim\DA_b_d.aiff, center_rect, +)	19	run2
[]	(stim\DA_b_d.aiff, center_rect, +)	20	run2
[('f', 0.2799445486161858), ('g', 0.37483395729213953), ('j', 0.5427020045462996), ('h', 0.5469498317688704), ('f', 1.2956356098875403), ('g', 1.4917836806271225), ('h', 1.664238152327016), ('j', 1.7110845318529755), ('f', 2.3981108216103166), ('g', 2.501040812814608), ('j', 2.6769792928826064), ('f', 3.4129368071444333), ('g', 3.529249722138047), ('j', 5.181832468602806), ('h', 5.260790842119604), ('g', 5.493235521716997), ('f', 5.636010805843398), ('f', 6.237713565584272), ('g', 6.393925036303699), ('h', 6.530153720872477), ('j', 6.588494841009378), ('f', 7.149760860484093), ('g', 7.156760776415467), ('g', 7.437656147638336), ('j', 7.578255865257233), ('f', 8.002789548132569), ('g', 8.259928400162607), ('j', 8.400480415672064), ('f', 11.34835724835284), ('g', 11.432667035609484), ('j', 11.609901373740286), ('h', 11.611343264579773)]	(stim\DA_b_g.aiff, center_rect, +)	21	run2
[('f', 0.6853479370474815), ('g', 0.8656732535455376), ('h', 1.022913977270946), ('j', 1.100803297245875), ('f', 1.8743172821123153), ('g', 1.947986576706171), ('h', 2.025592318037525), ('j', 2.1057166126556695), ('f', 3.151885212864727), ('g', 3.2202139219734818), ('h', 3.3449270874261856), ('j', 3.4138121258001775), ('f', 4.306379408342764), ('g', 4.414624231867492), ('h', 4.574716252973303), ('j', 4.618883413961157), ('f', 5.788304852088913), ('g', 5.859258346492425), ('h', 5.993741661310196), ('j', 6.077267144341022), ('f', 8.301186318742111), ('g', 8.390869176015258), ('h', 8.568332659779117), ('j', 8.660438080783933), ('f', 11.112305939430371), ('g', 11.260765381390229), ('h', 11.491433670278639), ('j', 11.701897928724065)]	(stim\DA_b_d.aiff, center_rect, +)	22	run2
[('f', 2.1047175026033074), ('g', 2.284965266706422), ('h', 2.521049059694633), ('j', 2.7633364656940103), ('f', 4.559873879188672), ('g', 4.68426161701791), ('j', 5.008176372386515), ('f', 7.237226594472304), ('g', 7.380153764504939), ('h', 7.706848995992914), ('j', 7.988572569098324), ('j', 9.763032986782491), ('h', 9.95397596922703), ('g', 10.183683192590252), ('f', 10.429952991427854)]	(stim\DA_b_d.aiff, center_rect, +)	23	run2
[('f', 0.8376765160355717), ('g', 0.96733314008452), ('h', 1.1760865615215153), ('j', 1.3060399333480746), ('g', 7.021643287269399), ('h', 7.154214421287179), ('k', 7.460769420256838), ('g', 9.00474065146409), ('h', 9.134655100759119), ('g', 10.2891990467906), ('h', 10.411013798322529), ('j', 10.726422948995605), ('k', 11.00558436382562), ('g', 11.984195390250534)]	(stim\DA_b_d.aiff, center_rect, +)	24	run2
