Subj	Site	dummy_covar1	dummy_covar2
hu_AA380_16_3_13	HU	1.1	1
hu_AC513_25_4_12	HU	2.1	2
hu_AE239	HU	3.1	3
hu_AS780	HU	5.1	5
hu_BK842_4_1_13	HU	6.1	6
hu_BW331_9_5_14	HU	7.1	7
hu_CL702	HU	8.1	8
hu_DB391_30_11_13	HU	9.1	9
hu_DF592_21_6_13_1509	HU	10.1	10
hu_EA749_20140625	HU	11.1	11
hu_GW218_3_8_12	HU	12.1	12
hu_HF446_23_2_13	HU	13.1	13
hu_HP010_4_2_14	HU	14.1	14
hu_JR587_29_3_14	HU	15.1	15
hu_JV009_15_2_13	HU	16.1	16
hu_JW894_21_1_12	HU	17.1	17
hu_KG310	HU	18.1	18
hu_LA943_8_12_12	HU	19.1	19
hu_LG712_17_06_14	HU	20.1	20
hu_LK799	HU	21.1	21
hu_MA306_8_3_13	HU	22.1	22
hu_MK041_15_11_13_1100	HU	23.1	23
hu_MN626	HU	24.1	24
hu_MS135_5_2_14	HU	25.1	25
hu_NA651_11_1_14	HU	26.1	26
hu_NB712_15_11_13	HU	27.1	27
hu_RE911_30_11_13	HU	28.1	28
hu_RF998_18_1_14	HU	29.1	29
hu_RG357_17_6_14	HU	30.1	30
hu_RG905_7_12_13	HU	31.1	31
hu_RL112	HU	32.1	32
hu_SD031_20140625	HU	33.1	33
hu_SN083	HU	34.1	34
hu_SS322	HU	35.1	35
hu_ST010_3_2_12	HU	36.1	36
hu_TK132_23_3_12	HU	37.1	37
hu_YD874_12_4_13_1236	HU	38.1	38
hu_YG403_28_6_12_1059	HU	39.1	39
hu_YG498_25_4_12	HU	40.1	40
ny001	NY	50.1	50
ny002	NY	51.1	51
ny004	NY	52.1	52
ny005	NY	53.1	53
ny006	NY	54.1	54
ny007	NY	55.1	55
ny008	NY	56.1	56
ny009	NY	57.1	57
ny010	NY	58.1	58
ny011	NY	59.1	59
ny012	NY	60.1	60
ny020	NY	61.1	61
ny021b	NY	62.1	62
ny022	NY	63.1	63
ny029	NY	64.1	64
ny033	NY	65.1	65
ny034	NY	66.1	66
ny036	NY	67.1	67
ny040	NY	68.1	68
ny045	NY	69.1	69
ny048	NY	70.1	70
ny051	NY	71.1	71
ny057	NY	72.1	72
ny058	NY	73.1	73
ny059	NY	74.1	74
